City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castro,-24.79,-50.01,297.39,51,33,1.25,BR,297.39
1,isangel,-19.55,169.27,300.15,94,75,3.96,VU,300.15
2,moron,-34.65,-58.62,303.71,37,0,7.2,AR,303.71
3,butaritari,3.07,172.79,300.98,84,100,8.01,KI,300.98
4,cherskiy,68.75,161.3,249.75,72,11,3.11,RU,249.75
5,avarua,-21.21,-159.78,300.15,78,100,4.1,CK,300.15
6,atuona,-9.8,-139.03,300.43,78,3,6.74,PF,300.43
7,carnarvon,-24.87,113.63,297.15,83,40,4.6,AU,297.15
8,vestmannaeyjar,63.44,-20.27,272.15,63,75,2.6,IS,272.15
9,hilo,19.73,-155.09,293.71,88,75,2.6,US,293.71
10,punta arenas,-53.15,-70.92,287.15,63,41,9.3,CL,287.15
11,saint-philippe,-21.36,55.77,300.15,78,0,1.0,RE,300.15
12,mahasamund,21.1,82.1,291.94,32,0,1.08,IN,291.94
13,kyenjojo,0.63,30.62,297.23,41,93,1.82,UG,297.23
14,pueblo,38.25,-104.61,275.93,50,75,6.2,US,275.93
15,sistranda,63.73,8.83,276.15,69,40,11.8,NO,276.15
16,flinders,-34.58,150.86,294.82,100,90,1.5,AU,294.82
17,gohad,26.43,78.44,289.89,43,2,2.15,IN,289.89
18,eatonton,33.33,-83.39,294.82,82,90,1.5,US,294.82
19,bubaque,11.28,-15.83,300.04,64,0,5.86,GW,300.04
20,arraial do cabo,-22.97,-42.03,297.15,88,90,2.1,BR,297.15
21,otukpo,7.19,8.13,302.43,14,8,1.36,NG,302.43
22,bredasdorp,-34.53,20.04,295.93,83,0,5.1,ZA,295.93
23,wuzhou,23.48,111.32,291.33,93,8,0.95,CN,291.33
24,provideniya,64.38,-173.3,256.16,93,52,1.4,RU,256.16
25,hithadhoo,-0.6,73.08,301.92,74,100,4.24,MV,301.92
26,kapaa,22.08,-159.32,294.82,88,90,6.2,US,294.82
27,bambous virieux,-20.34,57.76,300.15,83,20,5.1,MU,300.15
28,nikolskoye,59.7,30.79,274.82,94,90,2.0,RU,274.82
29,asau,46.43,26.4,277.04,59,0,1.5,RO,277.04
30,kaitangata,-46.28,169.85,287.24,73,100,4.95,NZ,287.24
31,padang,-0.95,100.35,294.19,93,100,1.24,ID,294.19
32,east london,-33.02,27.91,296.15,73,26,7.2,ZA,296.15
33,collie,-33.37,116.15,294.82,47,77,2.05,AU,294.82
34,hobart,-42.88,147.33,287.15,76,90,2.1,AU,287.15
35,hermanus,-34.42,19.23,295.93,78,0,2.24,ZA,295.93
36,ushuaia,-54.8,-68.3,287.15,50,40,9.8,AR,287.15
37,lebu,-37.62,-73.65,292.85,45,17,4.87,CL,292.85
38,bonavista,48.65,-53.11,271.48,86,100,5.81,CA,271.48
39,cape town,-33.93,18.42,294.82,93,20,4.6,ZA,294.82
40,busselton,-33.65,115.33,294.82,47,65,3.74,AU,294.82
41,sitka,57.05,-135.33,278.15,93,90,3.1,US,278.15
42,fortuna,40.6,-124.16,285.37,87,20,2.64,US,285.37
43,pangnirtung,66.15,-65.71,243.15,67,40,0.56,CA,243.15
44,seoul,37.57,126.98,281.15,93,90,1.5,KR,281.15
45,cotonou,6.37,2.42,302.15,51,0,2.6,BJ,302.15
46,asfi,32.3,-9.24,288.58,77,17,3.52,MA,288.58
47,upernavik,72.79,-56.15,248.64,99,94,1.52,GL,248.64
48,kieta,-6.22,155.63,301.43,80,100,8.63,PG,301.43
49,barrow,71.29,-156.79,242.15,74,1,2.1,US,242.15
50,cabo san lucas,22.89,-109.91,295.93,52,5,4.6,MX,295.93
51,svetlogorsk,52.63,29.73,274.53,83,100,4.14,BY,274.53
52,rikitea,-23.12,-134.97,298.87,80,36,9.51,PF,298.87
53,puerto ayora,-0.74,-90.35,304.15,62,20,9.3,EC,304.15
54,taltal,-25.4,-70.48,294.25,63,40,4.0,CL,294.25
55,port elizabeth,-33.92,25.57,295.15,73,0,6.7,ZA,295.15
56,bandarbeyla,9.49,50.81,298.41,78,23,12.35,SO,298.41
57,abu samrah,35.3,37.18,277.29,80,100,3.5,SY,277.29
58,yulara,-25.24,130.99,305.15,21,62,3.6,AU,305.15
59,collingwood,44.48,-80.22,273.71,82,20,6.2,CA,273.71
60,ukiah,39.15,-123.21,292.04,44,1,1.5,US,292.04
61,zaraza,9.35,-65.32,307.82,33,17,2.81,VE,307.82
62,dhidhdhoo,6.88,73.1,300.98,73,12,2.92,MV,300.98
63,saldanha,-33.01,17.94,293.15,68,38,4.1,ZA,293.15
64,penne,42.45,13.93,283.71,76,8,1.5,IT,283.71
65,bethel,41.37,-73.41,281.48,41,1,2.1,US,281.48
66,albany,42.6,-73.97,278.71,44,75,2.6,US,278.71
67,grindavik,63.84,-22.43,270.15,92,75,3.6,IS,270.15
68,isabela,6.71,121.97,295.29,87,58,0.84,PH,295.29
69,aykhal,66.0,111.5,250.15,76,66,2.0,RU,250.15
70,saint george,37.1,-113.58,283.15,26,1,1.5,US,283.15
71,yerbogachen,61.28,108.01,247.65,92,0,3.63,RU,247.65
72,kushima,31.46,131.23,290.15,88,75,4.6,JP,290.15
73,kavieng,-2.57,150.8,301.67,77,99,5.86,PG,301.67
74,georgetown,5.41,100.34,301.15,83,20,3.6,MY,301.15
